Feature,GSM530359.CEL,GSM530361.CEL,GSM530363.CEL,GSM530365.CEL,GSM530367.CEL,GSM530369.CEL,GSM530371.CEL,GSM530373.CEL,GSM530375.CEL,GSM530377.CEL
100,8.381821426,8.513650577,9.877749532,9.972470429,8.791270915,9.102513927,8.289718929,8.254594915,9.261176735,8.796409931
1000,9.714676632,9.789734258,6.181414247,5.952605785,11.01066914,10.60521091,9.233741627,9.238204394,10.61759901,9.073042734
10000,8.767954489,8.709025429,9.242163673,9.401677364,9.182348476,8.945499769,8.804630112,8.854295003,9.081086419,9.131815511
10001,4.207386388,3.809946934,4.294872737,4.143149945,4.152622364,4.171360402,4.043567,4.35323897,4.051882741,4.255692669
10002,4.466513624,4.542400677,4.411923154,4.681443087,4.643663387,4.41336354,4.419393926,4.375681783,4.346192992,4.578961306
10003,4.456841228,4.364555984,6.313076162,6.398018388,4.090201863,3.929447324,3.997993879,4.142087389,3.768400269,3.97500959
10004,4.103754457,4.323993395,4.99748881,4.859463271,4.327802405,4.758714314,4.175841182,4.166223185,4.847564263,4.568259913
10005,6.648803831,6.777683275,7.186830579,7.059010549,6.85791817,7.052582278,6.43398835,6.405416766,6.969817613,6.649850097
10006,7.966034477,8.304724195,9.038245561,9.022653201,8.474145837,8.699441505,8.209929488,8.329273273,8.396093256,8.711252565
10007,9.611416412,9.513349286,9.502276185,9.58306332,8.909936247,10.23612505,9.185166021,9.278930362,9.826948372,9.762370399
10009,4.754946815,4.820648746,5.026788488,4.970036828,4.572556514,4.765146896,4.953581419,4.880803519,4.705126673,4.733868995
1001,3.885251891,4.126567313,4.339195113,4.219279044,4.073165538,4.21030793,4.432233052,4.272365119,4.336045585,4.206964
10010,9.664929878,9.70165982,9.520144074,9.620269138,9.975900355,10.30884872,9.414480932,9.51291318,10.23967853,9.845842319
100129250,7.300385778,7.817673928,7.990663607,8.019381577,7.473531722,7.828834792,7.890121712,7.65104021,8.068618829,8.247145358
100129361,10.93471285,10.81151319,10.71754955,10.89156116,10.90985234,10.52804171,10.46957308,10.57363026,10.42806347,10.21620872
100129482,5.102154002,5.03757894,5.193775724,5.118578928,5.007205604,5.265483886,4.979419162,4.952259155,4.910597853,5.337549496
10013,6.556256426,6.390971079,7.020487441,6.969968009,6.487616599,6.685789109,6.640294644,6.827311941,6.786816895,7.13578988
100130449,3.71677536,3.960265035,3.873935056,3.832858507,3.767631896,3.761026532,3.902825306,3.893612822,3.783780083,3.849869521
100130958,3.70010355,3.648412485,3.931798007,3.830214024,3.610614533,3.784596611,3.83834967,3.770634163,3.855067552,3.504474532
100131532,4.336685047,4.474477898,3.970805353,3.850428143,4.192502365,3.959724243,4.181412461,4.307631841,4.10100248,4.113590925
100132341,4.076556798,4.229267492,3.874742514,3.934399889,4.233239288,4.116969844,4.209140971,4.279620022,3.989045032,4.194225478
100132476,3.953426924,3.953572276,4.077886715,3.867746512,4.082346777,4.147390693,4.168080957,4.202293185,3.849912011,4.157928486
100133941,4.017034782,3.970451434,4.377469049,4.160927147,4.839633169,4.431935679,4.039700405,3.993353884,6.805395867,4.133624174
100134713,5.21335695,5.038500068,5.112988519,5.085098275,4.993703949,4.822358572,5.238451743,4.974620783,4.985817055,4.813769643
10014,5.807211334,5.708561706,6.337278641,6.461314354,6.03282435,6.207626201,5.883007866,5.865523367,6.048441041,6.116072936
