Observation,Study,Species,Organ,CellType,SampleType,Application,Design,Platform,ExperimentalTitle,DescriptionOfExperiment,Keywords,Outlier
GSM530359.CEL,E-GEOD-21212_A,Homo sapiens,Umbilical cord,Umbilical vein endothelial cells,Primary culture,Untreated or control,E-GEOD-21212_A | Homo sapiens | Umbilical cord | Umbilical vein endothelial cells | Primary culture | Untreated or control | HUVEC cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530361.CEL,E-GEOD-21212_A,Homo sapiens,Umbilical cord,Umbilical vein endothelial cells,Primary culture,Untreated or control,E-GEOD-21212_A | Homo sapiens | Umbilical cord | Umbilical vein endothelial cells | Primary culture | Untreated or control | HUVEC cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530363.CEL,E-GEOD-21212_A,Homo sapiens,Skin,Dermal endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Skin | Dermal endothelial cells | Freshly-isolated | Untreated or control | dermal microvascular cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530365.CEL,E-GEOD-21212_A,Homo sapiens,Skin,Dermal endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Skin | Dermal endothelial cells | Freshly-isolated | Untreated or control | dermal microvascular cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530367.CEL,E-GEOD-21212_A,Homo sapiens,Aorta,Aorta endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Aorta | Aorta endothelial cells | Freshly-isolated | Untreated or control | aortic endothelial cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530369.CEL,E-GEOD-21212_A,Homo sapiens,Aorta,Aorta endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Aorta | Aorta endothelial cells | Freshly-isolated | Untreated or control | aortic endothelial cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530371.CEL,E-GEOD-21212_A,Homo sapiens,Lung,Pulmonary artery endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Lung | Pulmonary artery endothelial cells | Freshly-isolated | Untreated or control | human pulmonary artery endothelial cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530373.CEL,E-GEOD-21212_A,Homo sapiens,Lung,Pulmonary artery endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Lung | Pulmonary artery endothelial cells | Freshly-isolated | Untreated or control | human pulmonary artery endothelial cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530375.CEL,E-GEOD-21212_A,Homo sapiens,Heart,Coronary artery endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Heart | Coronary artery endothelial cells | Freshly-isolated | Untreated or control | coronary artery endothelial cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
GSM530377.CEL,E-GEOD-21212_A,Homo sapiens,Heart,Coronary artery endothelial cells,Freshly-isolated,Untreated or control,E-GEOD-21212_A | Homo sapiens | Heart | Coronary artery endothelial cells | Freshly-isolated | Untreated or control | coronary artery endothelial cells,Affymetrix GeneChip HT Human Genome U133A,Expression profiling of Endothelial (EC) and Non-endothelial Cells,"Gene expression profiling of HUVEC (human umbilical vein EC cell; Lonza), HAEC (human aortic EC cells), HCAEC (human coronary artery EC cells), HPAEC (human pulmonary artery EC cells), HMVEC (human microvascular (dermal) , HASMC ( Human Aortic Smooth Muscle Cells), T cells and Bcells. Gene expression profiling of Endothelial cells and Non-endothelial cells in order to identify the genes with preferntial expression to endothelial cells.  The experiments are performed in duplicate on both the HT Human Genome U133A and U133B arrays.",Heterogeneity,No
