Feature,GSM530360.CEL,GSM530362.CEL,GSM530364.CEL,GSM530366.CEL,GSM530368.CEL,GSM530370.CEL,GSM530372.CEL,GSM530374.CEL,GSM530376.CEL,GSM530378.CEL
1,3.512324812,3.608354374,4.097977011,4.019423203,3.979830746,4.041669796,3.675492994,3.510359152,3.862798807,4.011234931
10000,6.360401292,6.626317868,6.507743637,6.424529266,6.772602736,6.547065957,6.289186481,6.20678347,6.856060916,6.565831465
100009676,4.651174868,4.705956187,4.527146524,4.171635714,4.852257446,4.376592107,4.358390385,4.610959065,4.407994887,4.406856583
10004,4.208102391,3.954669906,4.416501968,4.529656455,4.491360589,4.561765565,3.807643208,4.463285443,4.839012453,4.655181628
100049716,4.541443228,4.427463529,4.954929944,5.007666435,4.721915214,5.076562583,4.86934442,4.921856295,4.731497883,5.41295958
10005,3.831435178,3.779116635,3.676672877,3.567247027,3.630878134,3.696108968,3.871341374,4.002582372,3.766728677,3.628755565
10008,4.191288474,4.147194593,4.195030397,4.132367684,4.035003906,4.087805995,4.074390194,3.983719678,4.281451565,4.419567451
10009,9.518492274,9.646618265,9.551886593,9.805440194,9.711318897,9.639214517,9.757597002,9.801732979,9.687798225,9.538479536
10010,3.908099005,3.769858696,3.800528658,3.734872483,3.781124904,3.724345338,3.93555167,3.836574881,3.733346572,3.820232862
100101467,4.600630494,4.648590397,5.395404711,5.1342197,4.829121753,5.747081358,4.636838632,4.768671076,5.460583509,5.921021406
10011,9.081793179,8.701723957,8.161742232,8.194789219,9.305345363,9.143824331,8.545228994,8.514503145,8.686349619,8.583204821
100113407,4.414724313,4.620111882,4.672533694,4.348504739,4.641962734,5.049956744,5.168327101,5.170052633,4.669893076,5.474186587
100124700,3.261403358,3.308143229,3.506243679,3.340145683,3.306238358,3.305059499,3.37001022,3.293635925,3.480423289,3.348373521
100126784,3.734141985,3.834307349,3.757973746,3.703296644,4.265167782,5.46601683,4.531587827,4.64185257,4.212618595,4.241308698
100127983,5.851429537,6.048342882,4.706976187,4.560126747,5.104157992,6.16443645,6.360766709,6.343794355,5.461020217,6.302708226
100128079,3.741388803,3.51541248,3.6312177,3.560979552,3.525118711,3.589596869,3.596204318,3.774329692,3.678826422,3.642658689
100128108,3.906349028,4.236078791,4.225295823,4.153391118,3.994322547,4.364463088,4.032342429,4.087442934,4.559540969,4.180539676
100128191,4.142752203,4.363690928,3.740498594,3.525117578,3.917516106,3.818214107,4.598342886,4.152042428,3.729571379,3.869487851
100128252,7.751827999,7.806710382,6.011558344,6.187570937,7.163084894,7.081104596,6.633000484,6.470898353,6.007345092,6.973371356
100128292,3.849000907,3.995616597,4.010180556,3.777208307,3.844374576,3.980898361,4.13401147,4.000477645,4.218396986,3.977239959
100128731,11.62877696,11.55596428,11.96678732,12.03061941,11.96212522,11.81814469,11.84431304,11.839395,11.90782125,11.86962004
100128750,3.775503229,3.743551673,4.043753099,3.790168128,3.70516458,3.800031391,3.679293918,3.6246283,3.844031532,3.748239871
100128782,4.642300107,4.561116066,4.234878528,4.272770261,4.543477322,4.903230035,4.197121047,4.244307363,4.45327131,4.356124548
100128822,7.169045198,7.143323274,8.074092536,8.28581527,6.638808836,8.061453294,6.966434605,6.752613044,7.306749246,7.318463414
100128893,4.37014759,4.215762636,4.128506996,4.072360757,4.246747472,4.334910325,4.345435702,4.215709973,4.261340056,4.289173937
100128927,4.6186533,4.194862416,4.459483896,4.476372227,4.243519692,4.433709322,4.429366688,4.155463484,4.223139086,4.495054928
100128988,3.50641536,3.674191499,3.4811604,3.240058356,3.506742705,3.528156133,3.375598396,3.375598396,3.576899139,3.605814954
100129034,6.979534839,7.241340901,7.738234644,7.673844119,7.30751705,7.505817298,7.459994838,7.315323249,7.479725443,7.375913347
100129195,4.231391551,4.0414263,4.033159066,4.006456607,4.406259071,4.242850462,3.812610938,3.807481942,4.181539186,4.220135654
100129361,4.943317104,5.287286713,4.899186161,4.849320798,4.847501764,4.974268608,4.990237724,4.622010881,4.755124789,4.687962241
100129387,5.845849078,5.793915584,6.167002856,6.149520967,4.281097592,4.986261397,5.372614815,5.279324056,6.134739717,6.171914121
100129482,3.463276625,3.646935072,3.85131346,3.84719012,3.586850573,3.569509886,3.505125398,3.576789297,3.814936542,3.754930829
100129550,3.970886671,4.234481968,5.444125657,5.303568017,4.570884676,4.796910202,4.642822807,4.450398156,5.196766298,4.866119943
